visibility,altitude,date,TDB,eclipse_type
not_visible,-33.29640779451716,1605-04-03,2307367.352087917,Partial
visible,48.34701748435812,1605-09-27,2307543.656951848,Partial
visible,6.075249374342735,1606-03-24,2307721.932832909,Total
not_visible,-14.604029079077161,1606-09-16,2307897.9967517923,Total
not_visible,-45.63053037694599,1607-03-13,2308076.235319768,Penumbral
visible,30.026014218226685,1607-09-06,2308252.6032471405,Partial
visible,16.923573404310982,1608-01-31,2308400.493285655,Penumbral
not_visible,-18.280970048150444,1608-07-27,2308577.9812547104,Partial
not_visible,-48.82387292755382,1608-08-25,2308607.3056312795,Penumbral
visible,51.19593576872624,1609-01-20,2308754.610862947,Partial
not_visible,-10.380375581741315,1609-07-16,2308932.476243589,Total
not_visible,-3.608950030124637,1610-01-09,2309109.0309528145,Total
visible,23.9986764842743,1610-07-06,2309286.6722385753,Partial
visible,65.81334641744397,1610-12-30,2309463.652689508,Partial
not_visible,-54.5520123812277,1611-05-26,2309611.1097419434,Penumbral
visible,23.770379234061068,1611-06-25,2309640.697982034,Penumbral
visible,55.05998996082657,1611-11-20,2309788.78348612,Penumbral
not_visible,-19.66603150982128,1611-12-19,2309818.2877200455,Penumbral
not_visible,-25.013476164977707,1612-05-14,2309965.4085125504,Partial
not_visible,-24.861097284331017,1612-11-08,2310143.097159376,Partial
not_visible,-19.821131310557917,1613-05-04,2310319.985437799,Total
not_visible,-32.75388947673811,1613-10-28,2310497.133082545,Total
visible,34.62477163512206,1614-04-24,2310674.6866459087,Partial
not_visible,-36.4546298306876,1614-10-17,2310851.1376668643,Partial
visible,32.92201743122619,1615-03-15,2310999.8445853097,Penumbral
not_visible,-43.763658801465716,1615-04-13,2311029.3183647506,Penumbral
not_visible,-3.749626546395857,1615-09-07,2311175.9495147164,Penumbral
not_visible,-10.26853233630149,1615-10-06,2311205.3959820336,Penumbral
not_visible,-19.629708560400214,1616-03-03,2311354.0551724723,Partial
visible,27.586213730424895,1616-08-27,2311530.6054127375,Total
not_visible,-13.37847011144526,1617-02-20,2311708.0408838606,Total
not_visible,-50.54985718963562,1617-08-16,2311885.302189566,Total
not_visible,-25.219998327621084,1618-02-09,2312062.106508847,Partial
visible,16.18356224549716,1618-08-06,2312239.8470044886,Penumbral
visible,11.478615826686852,1618-12-31,2312386.9721812317,Penumbral
visible,9.223853974076645,1619-01-29,2312416.4632530287,Penumbral
not_visible,-5.208112331721139,1619-06-27,2312564.5033153147,Partial
visible,58.13691940057973,1619-12-21,2312741.617664324,Partial
