visibility,altitude,date,TDB,eclipse_type
visible,7.266848625589587,1818-04-21,2385180.514219936,Partial
visible,54.66925042820743,1818-10-14,2385356.7259987337,Partial
visible,41.94429044148881,1820-09-22,2386065.774392254,Partial
visible,64.40838008821405,1822-02-06,2386567.738485543,Partial
visible,2.6664068863655865,1822-08-03,2386745.5208949028,Partial
visible,24.852867934462996,1823-07-23,2387099.647466479,Total
visible,37.00517483894524,1824-01-16,2387276.870913464,Partial
visible,26.24617615764928,1824-07-11,2387453.6770484997,Partial
visible,14.20480879735756,1827-05-11,2388487.8450804884,Partial
visible,39.50258589141976,1829-09-13,2389343.773217925,Partial
visible,1.9686973090259772,1831-08-23,2390052.916606457,Partial
visible,47.457746906302994,1833-01-06,2390554.833141075,Partial
visible,2.240722328496206,1833-07-02,2390731.53010289,Partial
visible,9.301715405404249,1834-06-21,2391085.8470314024,Total
visible,72.89254482567371,1834-12-16,2391263.7000590297,Partial
visible,18.238708538505303,1836-05-01,2391765.8380448255,Partial
visible,10.624230065077485,1837-10-13,2392296.470195744,Total
visible,25.403875624163984,1838-04-10,2392474.5824769037,Partial
visible,24.32258027652786,1840-08-13,2393330.8077171794,Partial
visible,42.5098532265652,1841-02-06,2393507.5883276905,Total
visible,29.746369997891005,1843-12-07,2394541.5079726735,Partial
visible,24.084963033957724,1844-11-24,2394895.48946917,Total
visible,34.893767176389915,1845-11-14,2395249.534490107,Partial
visible,40.568856579634485,1848-09-13,2396283.763459251,Total
visible,22.803242754048828,1849-03-09,2396460.5387352994,Partial
visible,19.008978958454577,1851-07-13,2397316.806707816,Partial
visible,66.29422656644894,1852-01-07,2397494.7574306317,Total
visible,22.25218596667985,1853-06-21,2398025.7512343647,Partial
visible,32.33250116265848,1855-05-02,2398705.6703876453,Total
visible,42.30215508931506,1855-10-25,2398881.812253808,Total
visible,10.472397268697295,1856-04-20,2399059.879676473,Partial
visible,7.048748070025214,1856-10-13,2399236.454528694,Total
visible,12.018101547712368,1859-02-17,2400092.9468407673,Total
visible,46.20568016785447,1860-02-07,2400447.603971265,Partial
visible,43.59507327862464,1861-12-17,2401126.846314485,Partial
visible,21.808799808927798,1862-06-12,2401303.764605179,Total
visible,48.95388967626839,1862-12-06,2401480.819672852,Total
visible,32.343798907302904,1863-11-25,2401834.8723332817,Partial
visible,39.33385120185867,1865-04-11,2402337.6931503904,Partial
visible,1.84358069438748,1865-10-04,2402514.4444353506,Partial
visible,44.02211783728109,1866-03-31,2402691.6899729148,Total
visible,24.7007022777217,1867-03-20,2403045.8673489876,Partial
visible,13.728899953175413,1867-09-14,2403223.51835343,Partial
visible,38.625186908579,1869-01-28,2403725.568343955,Partial
visible,65.22992388011593,1872-11-15,2405112.7219442492,Partial
visible,44.853441786486535,1874-10-25,2405821.8030219944,Total
visible,49.72041667364339,1876-03-10,2406323.764923169,Partial
visible,6.040945987163326,1878-02-17,2407032.966021842,Partial
visible,2.3289572508341854,1878-08-13,2407209.5058001517,Partial
visible,19.77153974100176,1881-06-12,2408243.7872955273,Total
visible,46.447515548061126,1883-10-16,2409099.7876600367,Partial
visible,31.708452047123696,1885-09-24,2409808.825121182,Partial
visible,17.20357939577718,1887-02-08,2410310.9319657083,Partial
visible,12.7168712843054,1888-01-28,2410665.4722176283,Total
visible,27.591332588581665,1888-07-23,2410841.739420395,Total
visible,69.62209215416108,1889-01-17,2411019.7289051693,Partial
visible,29.33418871624686,1891-11-16,2412052.513022523,Total
visible,44.60390553514129,1894-09-15,2413086.688468184,Partial
